	BtwCen	ClsCen	DegCen	EigCen	FoundationID	FoundationType	WorkingArea
832	0.0	0.0364053682979	0.000598265031409	1.53086097921e-07	1496	PRF	FAV
833	0.0	0.0	0.0	0.0	1396	PUF	FAV
834	0.0	0.0	0.0	0.0	1498	PRF	FAV
835	0.0	0.0	0.0	0.0	1499	PRF	FAV
836	0.0	0.000398843354273	0.000299132515704	2.35327749964e-99	3339	PRF	FAV
837	0.0	0.0	0.0	0.0	3338	PRF	FAV
838	0.0	0.0	0.0	0.0	1395	PRF	FAV
839	0.0	0.0433119475267	0.000299132515704	1.60334655717e-05	1994	PUF	FAV
840	0.0	0.000299132515704	0.000299132515704	1.33768338608e-112	1700	PUF	FAV
841	0.0	0.0	0.0	0.0	1701	PUF	FAV
842	0.0	0.000299132515704	0.000299132515704	1.33768338608e-112	1702	PUF	FAV
843	0.0	0.0	0.0	0.0	1394	PRF	FAV
844	0.0	0.0	0.0	0.0	1704	PRF	FAV
845	0.0	0.0415873088921	0.000299132515704	1.35798375337e-05	1705	PRF	FAV
846	0.0	0.032800839633	0.000299132515704	8.27634131398e-09	1706	PUF	UFA
847	0.0	0.0	0.0	0.0	1707	PRF	FAV
848	0.0	0.0	0.0	0.0	1708	PRF	FAV
849	0.0	0.0314077166843	0.000299132515704	6.6248502312e-09	1393	PRF	FAV
850	0.0	0.0	0.0	0.0	1996	PRF	FAV
851	0.0	0.0	0.0	0.0	1392	PUF	UFA
852	0.0	0.0349118552508	0.000299132515704	1.12934441694e-07	1391	PUF	UFA
853	0.0	0.0	0.0	0.0	3217	PUF	FAV
854	8.43701480968e-05	0.0342465489493	0.000598265031409	1.7239272099e-08	1390	PUF	FAV
855	0.0	0.0	0.0	0.0	1128	PRF	FAV
856	0.0	0.0	0.0	0.0	1129	PUF	FAV
857	0.0	0.0	0.0	0.0	1628	PRF	FAV
858	0.000370559130765	0.0393537844728	0.000598265031409	7.55690249348e-07	1120	PUF	UFA
859	0.0	0.0	0.0	0.0	1121	PUF	FAV
860	0.0	0.0	0.0	0.0	1122	PUF	UFA
861	0.000185458579455	0.0340724323992	0.000598265031409	1.92460222267e-08	1123	PRF	FAV
862	0.000555659682075	0.0382630943595	0.000897397547113	3.32096842839e-07	1124	PUF	UFA
863	0.0	0.0	0.0	0.0	1125	PRF	FAV
864	0.00017892652603	0.0390338350055	0.000598265031409	2.69035920669e-07	1126	PUF	UFA
865	0.000516868794319	0.0564941753215	0.00179479509423	0.00415861176318	1127	PRF	FAV
866	0.0	0.0	0.0	0.0	2989	PUF	FAV
867	0.000185458579455	0.0324500992919	0.000598265031409	2.85055532643e-09	2988	PUF	UFA
868	0.0	0.0412248922569	0.000299132515704	1.42126427754e-05	3029	PRF	FAV
869	0.0	0.0	0.0	0.0	3028	PRF	FAV
870	0.0	0.0	0.0	0.0	2983	PUF	FAV
871	0.0	0.0	0.0	0.0	2982	PUF	UFA
872	0.0	0.0	0.0	0.0	2981	PUF	UFA
873	0.0	0.0	0.0	0.0	2980	PUF	FAV
874	0.000185458579455	0.0324500992919	0.000598265031409	2.85055532643e-09	2987	PUF	UFA
875	0.0	0.0	0.0	0.0	2986	PUF	UFA
876	0.0	0.0	0.0	0.0	2985	PUF	FAV
877	0.00165874439887	0.0421651375384	0.000897397547113	1.20022488235e-06	2984	PUF	FAV
878	0.0	0.0285276546897	0.000299132515704	3.13573055707e-11	524	PRF	FAV
879	0.0	0.0454154785092	0.000299132515704	9.9222464206e-05	525	PRF	FAV
880	0.0	0.000448698773557	0.000299132515704	3.8526180367e-94	526	PRF	FAV
881	0.0	0.0376143398364	0.000299132515704	1.40443847607e-07	527	PRF	FAV
882	0.0	0.0	0.0	0.0	520	PRF	FAV
883	0.0	0.0	0.0	0.0	521	PRF	FAV
884	0.0	0.0535504968005	0.000299132515704	0.00196290080845	522	PRF	FAV
885	0.0	0.0	0.0	0.0	523	PRF	FAV
886	0.0	0.0	0.0	0.0	1014	PUF	FAV
887	0.0	0.0	0.0	0.0	1015	PUF	FAV
888	0.0	0.0532402903477	0.000598265031409	0.00111502523682	1016	PUF	FAV
889	0.0	0.000299132515704	0.000299132515704	1.33768338608e-112	1017	PUF	UFA
890	0.000185458579455	0.0371323830406	0.000598265031409	6.955668282e-08	528	PRF	FAV
891	0.0	0.0	0.0	0.0	529	PRF	FAV
892	0.0	0.0	0.0	0.0	1012	PUF	FAV
893	0.000370738144838	0.0357578739752	0.000897397547113	1.34417834198e-07	1013	PUF	FAV
894	0.0	0.0373132854983	0.000299132515704	1.76958124686e-07	1234	PUF	FAV
895	0.0	0.0	0.0	0.0	1235	PRF	FAV
896	0.0	0.0	0.0	0.0	1236	PRF	FAV
897	0.000105069496156	0.0464986750912	0.00149566257852	4.04106047586e-05	1237	PUF	FAV
898	0.000329155518077	0.0457969581835	0.00149566257852	2.24825931615e-05	1230	PUF	FAV
899	0.0	0.0	0.0	0.0	1231	PRF	FAV
900	0.0	0.000299132515704	0.000299132515704	1.33768338608e-112	1232	PUF	UFA
901	0.0	0.0	0.0	0.0	1233	PRF	UFA
902	0.00116909414447	0.0488426714668	0.00239306012564	5.20347449428e-05	1238	PUF	FAV
903	0.000212799356177	0.0383360546157	0.000897397547113	2.23694091888e-07	1239	PRF	FAV
904	0.0	0.0	0.0	0.0	2526	PUF	FAV
905	0.0	0.0	0.0	0.0	3167	PRF	FAV
906	0.0	0.0	0.0	0.0	438	PRF	FAV
907	0.0	0.0441138006419	0.000598265031409	1.36205335258e-05	439	PRF	FAV
908	0.0	0.0	0.0	0.0	436	PUF	UFA
909	0.0	0.0	0.0	0.0	437	PRF	FAV
910	0.0	0.0	0.0	0.0	434	PRF	FAV
911	0.0	0.0	0.0	0.0	435	PUF	FAV
912	0.0	0.0	0.0	0.0	432	PRF	UFA
913	0.0	0.0	0.0	0.0	433	PRF	UFA
914	0.0	0.0	0.0	0.0	430	PRF	UFA
915	0.00229688314337	0.0508822895097	0.00119653006282	0.000429916877343	431	PRF	UFA
916	0.0	0.0	0.0	0.0	2864	PUF	FAV
917	0.0	0.034319623843	0.000598265031409	3.79522302804e-08	2481	PUF	FAV
918	0.0	0.0	0.0	0.0	2865	PUF	FAV
919	0.0	0.0	0.0	0.0	1967	PRF	FAV
920	0.0	0.0	0.0	0.0	2868	PRF	FAV
921	0.0	0.0	0.0	0.0	3162	PRF	FAV
922	0.00028960743924	0.0585400972303	0.00179479509423	0.0135336830146	2869	PRF	FAV
923	0.0	0.0	0.0	0.0	3082	PRF	FAV
924	1.79014072833e-07	0.000598265031409	0.000598265031409	4.70655499928e-99	1960	PUF	FAV
925	0.00172210735666	0.0613070010064	0.00358959018845	0.027234133589	3314	PRF	FAV
926	0.0	0.0	0.0	0.0	3077	PRF	FAV
927	0.0	0.0	0.0	0.0	3225	PRF	FAV
928	0.0	0.0328981217305	0.000299132515704	2.4133665078e-09	1961	PUF	UFA
929	0.000185458579455	0.0443815996524	0.000598265031409	0.000187180915811	3160	PRF	FAV
930	0.0	0.0	0.0	0.0	3060	PRF	FAV
931	0.0	0.0	0.0	0.0	2464	PRF	FAV
932	0.0	0.0	0.0	0.0	3065	PUF	FAV
933	0.0	0.0	0.0	0.0	2465	PRF	FAV
934	0.0	0.000299132515704	0.000299132515704	1.33768338608e-112	3064	PUF	UFA
935	0.0	0.0544662773926	0.000897397547113	0.00428831915554	2466	PRF	FAV
936	0.000111466332713	0.0536487382056	0.000598265031409	0.00109904311463	3161	PRF	FAV
937	0.0	0.0441683144694	0.000299132515704	4.69058979842e-06	2467	PUF	FAV
938	0.0	0.0	0.0	0.0	238	PUF	FAV
939	0.00160701359698	0.0516088295011	0.00179479509423	0.000373019404256	239	PUF	FAV
940	0.000185458579455	0.0398856583113	0.000598265031409	4.3278078397e-06	234	PUF	UFA
941	0.0019472840807	0.0552047081312	0.00239306012564	0.0031976054423	235	PUF	FAV
942	0.000589295287558	0.0544662773926	0.00299132515704	0.00174869970928	236	PUF	FAV
943	0.0	0.0	0.0	0.0	237	PUF	FAV
944	0.00110827612491	0.0362005215261	0.00119653006282	1.18989501792e-08	230	PUF	UFA
